stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000016_009,上押切,,36.133883,139.331799,000016_009,0
000016_010,渡唐神社,,36.130309,139.330613,000016_010,0
000016_011,江南北小,,36.1285,139.336372,000016_011,0
000016_012,JA江南支店南,,36.126182,139.345124,000016_012,0
000016_013,赤城神社,,36.124245,139.345454,000016_013,0
000016_014,成沢坂上,,36.117972,139.343421,000016_014,0
000016_015,江南中学校東,,36.115622,139.337917,000016_015,0
000017_002,江南総合文化会館ﾋﾟﾋﾟｱ前,,36.116935,139.334575,000017_002,0
000017_003,千代東原,,36.120936,139.334449,000017_003,0
000017_004,千代南方,,36.119778,139.327134,000017_004,0
000017_005,駒形公園入口,,36.127116,139.324466,000017_005,0
000017_006,上新田,,36.13118,139.316937,000017_006,0
000017_007,押切橋南,,36.131613,139.323736,000017_007,0
000017_008,林眼科前,,36.152323,139.322478,000017_008,0
000017_009,三ヶ尻坂久,,36.154114,139.318628,000017_009,0
000017_010,観音山,,36.15367,139.313533,000017_010,0
000017_011,三尻小学校入口,,36.159002,139.317775,000017_011,0
000017_012,熊谷文化創造館西,,36.166122,139.323867,000017_012,0
000018_002,熊谷文化創造館西,,36.166076,139.323934,000018_002,0
000018_003,三尻小学校入口,,36.158948,139.31785,000018_003,0
000018_004,観音山,,36.153573,139.313559,000018_004,0
000018_005,三ヶ尻坂久,,36.154254,139.318673,000018_005,0
000018_006,林眼科前,,36.152323,139.322577,000018_006,0
000018_007,押切橋南,,36.131615,139.323862,000018_007,0
000018_008,上新田,,36.131181,139.31701,000018_008,0
000018_009,駒形公園入口,,36.127116,139.324537,000018_009,0
000018_010,千代南方,,36.119864,139.327125,000018_010,0
000018_011,千代東原,,36.121021,139.334432,000018_011,0
000019_002,別府１丁目,,36.180771,139.333291,000019_002,0
000019_003,別府第２公園南,,36.182017,139.338659,000019_003,0
000019_004,はぎわら眼科前,,36.178414,139.346979,000019_004,0
000019_005,玉井北,,36.179406,139.352179,000019_005,0
000019_006,たかしの森クリニック前 ,,36.181921,139.359348,000019_006,0
000019_007,バス転回場,,36.178115,139.363009,000019_007,0
000019_008,くまぴあ前,,36.170646,139.365973,000019_008,0
000019_009,代,,36.169256,139.369337,000019_009,0
000019_010,関東脳神経外科病院,,36.174971,139.369423,000019_010,0
000019_011,原島東,,36.159975,139.372287,000019_011,0
000019_012,大原一丁目,,36.157978,139.377766,000019_012,0
000019_013,メモリアル彩雲南,,36.157251,139.381513,000019_013,0
000019_014,肥塚四丁目西,,36.162391,139.3866,000019_014,0
000019_015,肥塚四丁目東,,36.162047,139.389655,000019_015,0
000019_016,肥塚郵便局前,,36.161018,139.39478,000019_016,0
000019_017,富士見中学校入口,,36.155438,139.395146,000019_017,0
000019_022,コミュニティひろば,,36.144311,139.387732,000019_022,0
000019_023,お祭り広場東,,36.142458,139.387576,000019_023,0
000019_024,筑波二丁目,,36.141867,139.389497,000019_024,0
000020_009,富士見中学校入口,,36.155378,139.394825,000020_009,0
000020_011,肥塚四丁目東,,36.161969,139.389689,000020_011,0
000020_012,肥塚四丁目西,,36.162375,139.386029,000020_012,0
000020_013,メモリアル彩雲南,,36.157083,139.382187,000020_013,0
000020_014,大原一丁目,,36.15794,139.377676,000020_014,0
000020_015,原島東,,36.159917,139.372236,000020_015,0
000020_017,代,,36.169172,139.369071,000020_017,0
000020_018,くまぴあ前,,36.170497,139.365939,000020_018,0
000020_020,たかしの森クリニック前,,36.181871,139.359366,000020_020,0
000020_021,玉井北,,36.179202,139.353067,000020_021,0
000020_022,はぎわら眼科前,,36.1785,139.346603,000020_022,0
000020_023,別府第２公園南,,36.181976,139.338611,000020_023,0
000020_024,別府１丁目,,36.180719,139.333318,000020_024,0
